========================================================================================Rover 1.0 201221
Voltage:  15.9
Standby
hdg:   0, bias:  98
{v   0}
msg: 09:35:05.876{LN7.1388}
msg: 09:35:05.883{LA241}
{lt  0.79}
msg: 09:35:06.875{LT21.9665}
msg: 09:35:06.885{LN7.1388}
msg: 09:35:06.893{LA241}
{lt  0.79}
msg: 09:35:07.883{LT21.9665}
msg: 09:35:07.894{LN7.1388}
msg: 09:35:07.901{LA241}
{lt  0.79}
msg: 09:35:08.892{LT21.9665}
msg: 09:35:08.902{LN7.1388}
msg: 09:35:08.910{LA241}
{lt  0.79}
msg: 09:35:09.904{LT21.9665}
msg: 09:35:09.915{LN7.1388}
msg: 09:35:09.922{LA241}
{lt  0.79}
msg: 09:35:10.912{LT21.9665}
msg: 09:35:10.922{LN7.1388}
msg: 09:35:10.929{LA241}
{lt  0.79}
msg: 09:35:11.921{LT21.9665}
msg: 09:35:11.931{LN7.1388}
msg: 09:35:11.939{LA241}
{lt  0.79}
msg: 09:35:12.929{LT21.9665}
msg: 09:35:12.939{LN7.1388}
msg: 09:35:12.946{LA241}
{lt  0.79}
msg: 09:35:13.937{LT21.9665}
msg: 09:35:13.948{LN7.1388}
msg: 09:35:13.955{LA241}
{lt  0.79}
msg: 09:35:14.946{LT21.9665}
msg: 09:35:14.957{LN7.1388}
msg: 09:35:14.964{LA241}
{lt  0.79}
msg: 09:35:15.954{LT21.9665}
msg: 09:35:15.965{LN7.1388}
msg: 09:35:15.972{LA241}
{lt  0.79}
msg: 09:35:16.967{LT21.9665}
msg: 09:35:16.978{LN7.1388}
msg: 09:35:16.985{LA241}
{lt  0.79}
msg: 09:35:17.975{LT21.9665}
msg: 09:35:17.985{LN7.1388}
msg: 09:35:17.993{LA241}
{lt  0.79}
msg: 09:35:18.984{LT21.9665}
msg: 09:35:18.994{LN7.1388}
msg: 09:35:19.002{LA241}
{lt  0.79}
msg: 09:35:19.993{LT21.9665}
msg: 09:35:20.003{LN7.1388}
msg: 09:35:20.011{LA241}
{lt  0.79}
msg: 09:35:21.003{LT21.9665}
msg: 09:35:21.012{LN7.1388}
msg: 09:35:21.019{LA241}
{lt  0.79}
msg: 09:35:22.010{LT21.9665}
msg: 09:35:22.022{LN7.1388}
msg: 09:35:22.029{LA241}
{lt  0.79}
msg: 09:35:23.021{LT22.7088}
msg: 09:35:23.031{LN6.6985}
msg: 09:35:23.038{LA241}
{lt  0.79}
msg: 09:35:24.031{LT22.1540}
msg: 09:35:24.041{LN6.9966}
msg: 09:35:24.049{LA241}
{lt  0.79}
msg: 09:35:25.041{LT22.0010}
msg: 09:35:25.051{LN7.0999}
msg: 09:35:25.058{LA241}
{lt  0.79}
msg: 09:35:26.049{LT22.0097}
msg: 09:35:26.058{LN7.1078}
msg: 09:35:26.067{LA241}
{lt  0.79}
msg: 09:35:27.058{LT22.0212}
msg: 09:35:27.069{LN7.1035}
msg: 09:35:27.076{LA241}
{lt  0.79}
msg: 09:35:28.069{LT22.0288}
msg: 09:35:28.078{LN7.1046}
msg: 09:35:28.087{LA241}
{lt  0.79}
msg: 09:35:29.078{LT22.0478}
msg: 09:35:29.087{LN7.1042}
msg: 09:35:29.094{LA241}
{lt  0.79}
msg: 09:35:30.088{LT22.0601}
msg: 09:35:30.098{LN7.1068}
msg: 09:35:30.105{LA241}
{lt  0.79}
msg: 09:35:31.099{LT22.0658}
msg: 09:35:31.110{LN7.1136}
msg: 09:35:31.118{LA241}
{lt  0.79}
msg: 09:35:32.107{LT22.0630}
msg: 09:35:32.118{LN7.1208}
msg: 09:35:32.125{LA241}
{lt  0.79}
msg: 09:35:33.118{LT22.0532}
msg: 09:35:33.127{LN7.1276}
msg: 09:35:33.136{LA241}
{lt  0.79}
msg: 09:35:34.127{LT22.0378}
msg: 09:35:34.138{LN7.1345}
msg: 09:35:34.145{LA241}
{lt  0.79}
msg: 09:35:35.141{LT21.9920}
msg: 09:35:35.152{LN7.1474}
msg: 09:35:35.159{LA241}
{lt  0.79}
msg: 09:35:36.150{LT21.9614}
msg: 09:35:36.161{LN7.1557}
msg: 09:35:36.168{LA241}
{lt  0.79}
msg: 09:35:37.164{LT21.9629}
msg: 09:35:37.174{LN7.1608}
msg: 09:35:37.181{LA241}
{lt  0.79}
msg: 09:35:38.174{LT21.9636}
msg: 09:35:38.183{LN7.1604}
msg: 09:35:38.190{LA241}
{lt  0.79}
msg: 09:35:39.183{LT21.9416}
