Rover 1.0 200813
Standby
{h  0}
{v   0}
{s   0}
msg: 11:01:03 {LT21.9089}
msg: 11:01:03 {LN7.2421}
msg: 11:01:03 {LA8435}
msg: 11:01:05 {LT21.9089}
msg: 11:01:05 {LN7.2421}
msg: 11:01:06 {LA8433}
msg: 11:01:07 {LT21.9114}
msg: 11:01:07 {LN7.2418}
msg: 11:01:08 {LA8432}
msg: 11:01:10 {LT21.9114}
msg: 11:01:10 {LN7.2407}
msg: 11:01:10 {LA8431}
msg: 11:01:11 {LT21.9154}
msg: 11:01:11 {LN7.2403}
msg: 11:01:12 {LA8424}
msg: 11:01:13 {LT21.9172}
msg: 11:01:13 {LN7.2400}
msg: 11:01:14 {LA8418}
msg: 11:01:16 {LT21.9172}
msg: 11:01:16 {LN7.2400}
msg: 11:01:17 {LA8431}
msg: 11:01:18 {LT21.9204}
msg: 11:01:18 {LN7.2396}
msg: 11:01:18 {LA8435}
msg: 11:01:20 {LT21.9222}
msg: 11:01:20 {LN7.2403}
msg: 11:01:20 {LA8438}
msg: 11:01:22 {LT21.9222}
msg: 11:01:22 {LN7.2410}
msg: 11:01:23 {LA8430}
msg: 11:01:24 {LT21.9240}
msg: 11:01:24 {LN7.2410}
msg: 11:01:25 {LA8440}
msg: 11:01:27 {LT21.9265}
msg: 11:01:27 {LN7.2421}
msg: 11:01:27 {LA8453}
msg: 11:01:29 {LT21.9265}
msg: 11:01:29 {LN7.2428}
msg: 11:01:30 {LA8483}
msg: 11:01:31 {LT21.9280}
msg: 11:01:31 {LN7.2432}
msg: 11:01:32 {LA8479}
msg: 11:01:34 {LT21.9280}
msg: 11:01:34 {LN7.2443}
msg: 11:01:34 {LA8477}
msg: 11:01:35 {LT21.9305}
msg: 11:01:35 {LN7.2439}
msg: 11:01:36 {LA8456}
msg: 11:01:37 {LT21.9319}
msg: 11:01:37 {LN7.2443}
msg: 11:01:38 {LA8441}
msg: 11:01:40 {LT21.9344}
msg: 11:01:40 {LN7.2443}
msg: 11:01:40 {LA8438}
msg: 11:01:42 {LT21.9344}
msg: 11:01:42 {LN7.2443}
msg: 11:01:43 {LA8416}
msg: 11:01:44 {LT21.9359}
msg: 11:01:44 {LN7.2443}
msg: 11:01:45 {LA8400}
msg: 11:01:47 {LT21.9359}
msg: 11:01:47 {LN7.2446}
msg: 11:01:47 {LA8394}
msg: 11:01:48 {LT21.9384}
msg: 11:01:48 {LN7.2446}
msg: 11:01:49 {LA8378}
msg: 11:01:50 {LT21.9391}
msg: 11:01:50 {LN7.2450}
msg: 11:01:51 {LA8375}
msg: 11:01:53 {LT21.9391}
msg: 11:01:53 {LN7.2450}
msg: 11:01:54 {LA8359}
msg: 11:01:55 {LT21.9413}
msg: 11:01:55 {LN7.2450}
msg: 11:01:55 {LA8354}
msg: 11:01:57 {LT21.9420}
msg: 11:01:57 {LN7.2461}
msg: 11:01:57 {LA8351}
msg: 11:01:59 {LT21.9427}
msg: 11:01:59 {LN7.2468}
msg: 11:02:00 {LA8324}
msg: 11:02:02 {LT21.9427}
msg: 11:02:02 {LN7.2475}
msg: 11:02:02 {LA8311}
msg: 11:02:03 {LT21.9438}
msg: 11:02:03 {LN7.2482}
msg: 11:02:04 {LA8281}
msg: 11:02:05 {LT21.9438}
msg: 11:02:05 {LN7.2482}
msg: 11:02:06 {LA8270}
msg: 11:02:08 {LT21.9445}
msg: 11:02:08 {LN7.2493}
msg: 11:02:08 {LA8263}
msg: 11:02:10 {LT21.9445}
msg: 11:02:10 {LN7.2497}
msg: 11:02:11 {LA8265}
msg: 11:02:12 {LT21.9449}
msg: 11:02:12 {LN7.2497}
msg: 11:02:13 {LA8271}
msg: 11:02:15 {LT21.9449}
msg: 11:02:15 {LN7.2500}
msg: 11:02:15 {LA8273}
msg: 11:02:16 {LT21.9452}
msg: 11:02:16 {LN7.2504}
msg: 11:02:17 {LA8294}
msg: 11:02:18 {LT21.9456}
msg: 11:02:18 {LN7.2504}
msg: 11:02:19 {LA8306}
msg: 11:02:21 {LT21.9456}
msg: 11:02:21 {LN7.2508}
msg: 11:02:22 {LA8331}
msg: 11:02:23 {LT21.9456}
msg: 11:02:23 {LN7.2508}
msg: 11:02:23 {LA8338}
msg: 11:02:25 {LT21.9452}
msg: 11:02:25 {LN7.2511}
msg: 11:02:25 {LA8343}
msg: 11:02:27 {LT21.9449}
msg: 11:02:27 {LN7.2511}
msg: 11:02:28 {LA8371}
msg: 11:02:30 {LT21.9449}
msg: 11:02:30 {LN7.2508}
msg: 11:02:30 {LA8379}
msg: 11:02:31 {LT21.9449}
msg: 11:02:31 {LN7.2504}
msg: 11:02:32 {LA8414}
msg: 11:02:33 {LT21.9452}
msg: 11:02:33 {LN7.2500}
msg: 11:02:34 {LA8433}
msg: 11:02:36 {LT21.9452}
msg: 11:02:36 {LN7.2497}
msg: 11:02:36 {LA8444}
msg: 11:02:38 {LT21.9452}
msg: 11:02:38 {LN7.2493}
msg: 11:02:39 {LA8470}
msg: 11:02:40 {LT21.9460}
msg: 11:02:40 {LN7.2493}
msg: 11:02:41 {LA8488}
msg: 11:02:43 {LT21.9460}
msg: 11:02:43 {LN7.2497}
msg: 11:02:43 {LA8491}
msg: 11:02:44 {LT21.9460}
msg: 11:02:44 {LN7.2497}
msg: 11:02:45 {LA8505}
msg: 11:02:46 {LT21.9452}
msg: 11:02:46 {LN7.2497}
msg: 11:02:47 {LA8501}
msg: 11:02:49 {LT21.9452}
msg: 11:02:49 {LN7.2511}
msg: 11:02:50 {LA8507}
msg: 11:02:51 {LT21.9431}
msg: 11:02:51 {LN7.2515}
msg: 11:02:51 {LA8504}
msg: 11:02:53 {LT21.9416}
msg: 11:02:53 {LN7.2533}
msg: 11:02:53 {LA8503}
msg: 11:02:55 {LT21.9402}
msg: 11:02:55 {LN7.2547}
msg: 11:02:56 {LA8508}
msg: 11:02:58 {LT21.9402}
msg: 11:02:58 {LN7.2558}
msg: 11:02:58 {LA8515}
msg: 11:02:59 {LT21.9391}
msg: 11:02:59 {LN7.2565}
msg: 11:03:00 {LA8530}
msg: 11:03:01 {LT21.9380}
msg: 11:03:01 {LN7.2569}
msg: 11:03:02 {LA8536}
msg: 11:03:04 {LT21.9380}
msg: 11:03:04 {LN7.2587}
msg: 11:03:05 {LA8550}
msg: 11:03:06 {LT21.9352}
msg: 11:03:06 {LN7.2590}
msg: 11:03:06 {LA8554}
msg: 11:03:08 {LT21.9337}
msg: 11:03:08 {LN7.2598}
msg: 11:03:08 {LA8557}
msg: 11:03:10 {LT21.9337}
msg: 11:03:10 {LN7.2598}
msg: 11:03:11 {LA8540}
msg: 11:03:12 {LT21.9319}
msg: 11:03:12 {LN7.2598}
msg: 11:03:13 {LA8534}
msg: 11:03:15 {LT21.9301}
msg: 11:03:15 {LN7.2594}
msg: 11:03:15 {LA8531}
msg: 11:03:17 {LT21.9301}
msg: 11:03:17 {LN7.2594}
msg: 11:03:18 {LA8504}
msg: 11:03:19 {LT21.9283}
msg: 11:03:19 {LN7.2598}
msg: 11:03:20 {LA8480}
msg: 11:03:22 {LT21.9283}
msg: 11:03:22 {LN7.2605}
msg: 11:03:22 {LA8473}
msg: 11:03:23 {LT21.9254}
msg: 11:03:23 {LN7.2608}
msg: 11:03:24 {LA8469}
msg: 11:03:25 {LT21.9240}
msg: 11:03:25 {LN7.2608}
msg: 11:03:26 {LA8464}
msg: 11:03:28 {LT21.9240}
msg: 11:03:28 {LN7.2612}
msg: 11:03:29 {LA8463}
msg: 11:03:30 {LT21.9211}
msg: 11:03:30 {LN7.2608}
msg: 11:03:30 {LA8462}
msg: 11:03:32 {LT21.9197}
msg: 11:03:32 {LN7.2612}
msg: 11:03:32 {LA8459}
msg: 11:03:34 {LT21.9197}
msg: 11:03:34 {LN7.2608}
msg: 11:03:35 {LA8440}
msg: 11:03:36 {LT21.9182}
msg: 11:03:36 {LN7.2608}
msg: 11:03:37 {LA8443}
msg: 11:03:39 {LT21.9161}
msg: 11:03:39 {LN7.2594}
msg: 11:03:39 {LA8446}
msg: 11:03:41 {LT21.9161}
msg: 11:03:41 {LN7.2580}
msg: 11:03:42 {LA8462}
msg: 11:03:43 {LT21.9150}
msg: 11:03:43 {LN7.2576}
msg: 11:03:44 {LA8468}
msg: 11:03:46 {LT21.9150}
msg: 11:03:46 {LN7.2562}
msg: 11:03:46 {LA8474}
msg: 11:03:47 {LT21.9139}
msg: 11:03:47 {LN7.2558}
msg: 11:03:48 {LA8480}
msg: 11:03:49 {LT21.9136}
msg: 11:03:49 {LN7.2554}
msg: 11:03:50 {LA8477}
msg: 11:03:52 {LT21.9136}
msg: 11:03:52 {LN7.2540}
msg: 11:03:53 {LA8484}
msg: 11:03:54 {LT21.9136}
msg: 11:03:54 {LN7.2533}
msg: 11:03:54 {LA8488}
msg: 11:03:56 {LT21.9143}
msg: 11:03:56 {LN7.2511}
msg: 11:03:56 {LA8494}
msg: 11:03:58 {LT21.9143}
msg: 11:03:58 {LN7.2493}
msg: 11:03:59 {LA8508}
msg: 11:04:00 {LT21.9154}
msg: 11:04:00 {LN7.2482}
msg: 11:04:01 {LA8511}
msg: 11:04:03 {LT21.9172}
msg: 11:04:03 {LN7.2450}
msg: 11:04:03 {LA8512}
msg: 11:04:05 {LT21.9172}
msg: 11:04:05 {LN7.2432}
msg: 11:04:06 {LA8531}
msg: 11:04:07 {LT21.9186}
msg: 11:04:07 {LN7.2425}
msg: 11:04:08 {LA8542}
msg: 11:04:10 {LT21.9186}
msg: 11:04:10 {LN7.2403}
msg: 11:04:10 {LA8544}
msg: 11:04:11 {LT21.9208}
msg: 11:04:11 {LN7.2400}
msg: 11:04:12 {LA8555}
msg: 11:04:13 {LT21.9218}
msg: 11:04:13 {LN7.2392}
msg: 11:04:14 {LA8561}
msg: 11:04:16 {LT21.9218}
msg: 11:04:16 {LN7.2378}
msg: 11:04:17 {LA8558}
